2026-01-01 14:50:49 UTC | INFO     | database | Logger initialized for database - Logging to /app/Logs/database_2026-01-01.log
2026-01-01 14:50:49 UTC | INFO     | database | Database initialized at /app/credentials.db
2026-01-01 14:51:19 UTC | INFO     | database | Logger initialized for database - Logging to /app/Logs/database_2026-01-01.log
2026-01-01 14:51:23 UTC | INFO     | database | Logger initialized for database - Logging to /app/Logs/database_2026-01-01.log
2026-01-01 14:51:26 UTC | INFO     | database | Logger initialized for database - Logging to /app/Logs/database_2026-01-01.log
2026-01-01 14:51:30 UTC | INFO     | database | Logger initialized for database - Logging to /app/Logs/database_2026-01-01.log
2026-01-01 14:51:34 UTC | INFO     | database | Logger initialized for database - Logging to /app/Logs/database_2026-01-01.log
2026-01-01 14:51:38 UTC | INFO     | database | Logger initialized for database - Logging to /app/Logs/database_2026-01-01.log
2026-01-01 14:51:38 UTC | INFO     | database | Database initialized at /app/credentials.db
2026-01-01 14:51:58 UTC | INFO     | database | Logger initialized for database - Logging to /app/Logs/database_2026-01-01.log
2026-01-01 14:51:59 UTC | INFO     | database | Database initialized at /app/credentials.db
2026-01-01 14:52:58 UTC | INFO     | database | Logger initialized for database - Logging to /app/Logs/database_2026-01-01.log
2026-01-01 14:52:58 UTC | INFO     | database | Database initialized at /app/credentials.db
2026-01-01 14:53:07 UTC | INFO     | database | Logger initialized for database - Logging to /app/Logs/database_2026-01-01.log
2026-01-01 14:53:07 UTC | INFO     | database | Database initialized at /app/credentials.db
2026-01-01 14:54:58 UTC | INFO     | database | Logger initialized for database - Logging to /app/Logs/database_2026-01-01.log
2026-01-01 14:54:58 UTC | INFO     | database | Database initialized at /app/credentials.db
2026-01-01 14:55:29 UTC | INFO     | database | Logger initialized for database - Logging to /app/Logs/database_2026-01-01.log
2026-01-01 14:55:29 UTC | INFO     | database | Added is_sandbox column to credentials table
2026-01-01 14:55:29 UTC | INFO     | database | Database initialized at /app/credentials.db
2026-01-01 14:55:29 UTC | INFO     | database | Inserted/updated live credentials for API key ...
2026-01-01 14:56:03 UTC | INFO     | database | Logger initialized for database - Logging to /app/Logs/database_2026-01-01.log
2026-01-01 14:56:03 UTC | INFO     | database | Database initialized at /app/credentials.db
2026-01-01 14:56:26 UTC | INFO     | database | Logger initialized for database - Logging to /app/Logs/database_2026-01-01.log
2026-01-01 14:56:44 UTC | INFO     | database | Logger initialized for database - Logging to /app/Logs/database_2026-01-01.log
2026-01-01 14:56:44 UTC | INFO     | database | Database initialized at /app/credentials.db
2026-01-01 14:57:48 UTC | INFO     | database | Logger initialized for database - Logging to /app/Logs/database_2026-01-01.log
2026-01-01 14:57:48 UTC | INFO     | database | Added is_sandbox column to credentials table
2026-01-01 14:57:48 UTC | INFO     | database | Database initialized at /app/credentials.db
2026-01-01 14:57:48 UTC | INFO     | database | Inserted/updated live credentials for API key ...
2026-01-01 14:58:06 UTC | INFO     | database | Logger initialized for database - Logging to /app/Logs/database_2026-01-01.log
2026-01-01 14:58:06 UTC | INFO     | database | Database initialized at /app/credentials.db
2026-01-01 14:58:33 UTC | INFO     | database | Logger initialized for database - Logging to /app/Logs/database_2026-01-01.log
2026-01-01 14:58:33 UTC | INFO     | database | Database initialized at /app/credentials.db
2026-01-01 14:59:45 UTC | INFO     | database | Logger initialized for database - Logging to /app/Logs/database_2026-01-01.log
2026-01-01 14:59:45 UTC | INFO     | database | Database initialized at /app/credentials.db
2026-01-01 15:00:09 UTC | INFO     | database | Logger initialized for database - Logging to /app/Logs/database_2026-01-01.log
2026-01-01 15:00:09 UTC | INFO     | database | Database initialized at /app/credentials.db
2026-01-01 15:40:25 UTC | INFO     | database | Logger initialized for database - Logging to /app/Logs/database_2026-01-01.log
2026-01-01 15:40:25 UTC | INFO     | database | Database initialized at /app/credentials.db
2026-01-01 15:40:54 UTC | INFO     | database | Logger initialized for database - Logging to /app/Logs/database_2026-01-01.log
2026-01-01 15:40:54 UTC | INFO     | database | Database initialized at /app/credentials.db
2026-01-02 03:05:11 UTC | INFO     | database | Logger initialized for database - Logging to /app/Logs/database_2026-01-01.log
2026-01-02 03:05:11 UTC | INFO     | database | Database initialized at /app/credentials.db
2026-01-02 03:09:20 UTC | INFO     | database | Logger initialized for database - Logging to /app/Logs/database_2026-01-01.log
2026-01-02 03:09:20 UTC | INFO     | database | Database initialized at /app/credentials.db
2026-01-02 03:12:37 UTC | INFO     | database | Logger initialized for database - Logging to /app/Logs/database_2026-01-01.log
2026-01-02 03:12:37 UTC | INFO     | database | Database initialized at /app/credentials.db
2026-01-02 03:12:49 UTC | INFO     | database | Logger initialized for database - Logging to /app/Logs/database_2026-01-01.log
2026-01-02 03:12:50 UTC | INFO     | database | Database initialized at /app/credentials.db
2026-01-02 03:13:04 UTC | INFO     | database | Logger initialized for database - Logging to /app/Logs/database_2026-01-01.log
2026-01-02 03:13:04 UTC | INFO     | database | Database initialized at /app/credentials.db
2026-01-02 03:47:30 UTC | INFO     | database | Logger initialized for database - Logging to /app/Logs/database_2026-01-01.log
2026-01-02 03:47:30 UTC | INFO     | database | Database initialized at /app/credentials.db
