2026-01-08 11:27:27 UTC | WARNING  | http_server | Database validation failed but found cached credentials for 1LS4DakO..., using cache
2026-01-08 11:27:27 UTC | WARNING  | http_server | Failed to validate API key against Supabase: [Errno -3] Temporary failure in name resolution
2026-01-08 11:27:27 UTC | WARNING  | http_server | Database validation failed but found cached credentials for 1LS4DakO..., using cache
2026-01-08 11:27:28 UTC | WARNING  | http_server | Failed to validate API key against Supabase: [Errno -3] Temporary failure in name resolution
2026-01-08 11:27:28 UTC | WARNING  | http_server | Database validation failed but found cached credentials for 1LS4DakO..., using cache
2026-01-08 11:27:28 UTC | WARNING  | http_server | Failed to validate API key against Supabase: [Errno -3] Temporary failure in name resolution
2026-01-08 11:27:28 UTC | WARNING  | http_server | Database validation failed but found cached credentials for 1LS4DakO..., using cache
2026-01-08 11:27:28 UTC | WARNING  | http_server | Failed to validate API key against Supabase: [Errno -3] Temporary failure in name resolution
2026-01-08 11:27:28 UTC | WARNING  | http_server | Database validation failed but found cached credentials for 1LS4DakO..., using cache
2026-01-08 11:27:30 UTC | WARNING  | http_server | Failed to validate API key against Supabase: [Errno -3] Temporary failure in name resolution
2026-01-08 11:27:30 UTC | WARNING  | http_server | Database validation failed but found cached credentials for 7DNc6AnX..., using cache
2026-01-08 11:27:30 UTC | WARNING  | http_server | Failed to validate API key against Supabase: [Errno -3] Temporary failure in name resolution
2026-01-08 11:27:30 UTC | WARNING  | http_server | Database validation failed but found cached credentials for 7DNc6AnX..., using cache
2026-01-08 11:27:31 UTC | WARNING  | http_server | Failed to validate API key against Supabase: [Errno -3] Temporary failure in name resolution
2026-01-08 11:27:31 UTC | WARNING  | http_server | Database validation failed but found cached credentials for 1LS4DakO..., using cache
2026-01-08 11:27:31 UTC | WARNING  | http_server | Failed to validate API key against Supabase: [Errno -3] Temporary failure in name resolution
2026-01-08 11:27:31 UTC | WARNING  | http_server | Database validation failed but found cached credentials for 1LS4DakO..., using cache
2026-01-08 11:27:32 UTC | WARNING  | http_server | Failed to validate API key against Supabase: [Errno -3] Temporary failure in name resolution
2026-01-08 11:27:32 UTC | WARNING  | http_server | Database validation failed but found cached credentials for 1LS4DakO..., using cache
2026-01-08 11:27:32 UTC | WARNING  | http_server | Failed to validate API key against Supabase: [Errno -3] Temporary failure in name resolution
2026-01-08 11:27:32 UTC | WARNING  | http_server | Database validation failed but found cached credentials for 1LS4DakO..., using cache
2026-01-08 11:27:32 UTC | INFO     | http_server | Refreshing session for API key 1LS4DakO... (expires in 10.0 min)
2026-01-08 11:27:33 UTC | INFO     | http_server | Refreshing session for API key 7DNc6AnX... (expires in 10.0 min)
2026-01-08 11:27:33 UTC | WARNING  | http_server | Failed to validate API key against Supabase: [Errno -3] Temporary failure in name resolution
2026-01-08 11:27:33 UTC | WARNING  | http_server | Database validation failed but found cached credentials for 1LS4DakO..., using cache
2026-01-08 11:27:33 UTC | WARNING  | http_server | Failed to validate API key against Supabase: [Errno -3] Temporary failure in name resolution
2026-01-08 11:27:33 UTC | WARNING  | http_server | Database validation failed but found cached credentials for 1LS4DakO..., using cache
2026-01-08 11:27:35 UTC | WARNING  | http_server | Failed to validate API key against Supabase: [Errno -3] Temporary failure in name resolution
2026-01-08 11:27:35 UTC | WARNING  | http_server | Database validation failed but found cached credentials for 7DNc6AnX..., using cache
2026-01-08 11:27:35 UTC | WARNING  | http_server | Failed to validate API key against Supabase: [Errno -3] Temporary failure in name resolution
2026-01-08 11:27:35 UTC | WARNING  | http_server | Database validation failed but found cached credentials for 7DNc6AnX..., using cache
2026-01-08 11:27:36 UTC | WARNING  | http_server | Failed to validate API key against Supabase: [Errno -3] Temporary failure in name resolution
2026-01-08 11:27:36 UTC | WARNING  | http_server | Database validation failed but found cached credentials for 1LS4DakO..., using cache
2026-01-08 11:27:36 UTC | WARNING  | http_server | Failed to validate API key against Supabase: [Errno -3] Temporary failure in name resolution
2026-01-08 11:27:36 UTC | WARNING  | http_server | Database validation failed but found cached credentials for 1LS4DakO..., using cache
2026-01-08 11:27:37 UTC | WARNING  | http_server | Failed to validate API key against Supabase: [Errno -3] Temporary failure in name resolution
2026-01-08 11:27:37 UTC | WARNING  | http_server | Database validation failed but found cached credentials for 1LS4DakO..., using cache
2026-01-08 11:27:37 UTC | WARNING  | http_server | Failed to validate API key against Supabase: [Errno -3] Temporary failure in name resolution
2026-01-08 11:27:37 UTC | WARNING  | http_server | Database validation failed but found cached credentials for 1LS4DakO..., using cache
2026-01-08 11:27:38 UTC | WARNING  | http_server | Failed to validate API key against Supabase: [Errno -3] Temporary failure in name resolution
2026-01-08 11:27:38 UTC | WARNING  | http_server | Database validation failed but found cached credentials for 1LS4DakO..., using cache
2026-01-08 11:27:38 UTC | WARNING  | http_server | Failed to validate API key against Supabase: [Errno -3] Temporary failure in name resolution
2026-01-08 11:27:38 UTC | WARNING  | http_server | Database validation failed but found cached credentials for 1LS4DakO..., using cache
2026-01-08 11:27:38 UTC | WARNING  | http_server | Failed to validate API key against Supabase: [Errno -3] Temporary failure in name resolution
2026-01-08 11:27:38 UTC | WARNING  | http_server | Database validation failed but found cached credentials for 1LS4DakO..., using cache
2026-01-08 11:27:40 UTC | WARNING  | http_server | Failed to validate API key against Supabase: [Errno -3] Temporary failure in name resolution
2026-01-08 11:27:40 UTC | WARNING  | http_server | Database validation failed but found cached credentials for 7DNc6AnX..., using cache
2026-01-08 11:27:40 UTC | WARNING  | http_server | Failed to validate API key against Supabase: [Errno -3] Temporary failure in name resolution
2026-01-08 11:27:40 UTC | WARNING  | http_server | Database validation failed but found cached credentials for 7DNc6AnX..., using cache
2026-01-08 11:27:41 UTC | WARNING  | http_server | Failed to validate API key against Supabase: [Errno -3] Temporary failure in name resolution
2026-01-08 11:27:41 UTC | WARNING  | http_server | Database validation failed but found cached credentials for 1LS4DakO..., using cache
2026-01-08 11:27:41 UTC | WARNING  | http_server | Failed to validate API key against Supabase: [Errno -3] Temporary failure in name resolution
2026-01-08 11:27:41 UTC | WARNING  | http_server | Database validation failed but found cached credentials for 1LS4DakO..., using cache
2026-01-08 11:27:41 UTC | WARNING  | http_server | Failed to validate API key against Supabase: [Errno -3] Temporary failure in name resolution
2026-01-08 11:27:41 UTC | WARNING  | http_server | Database validation failed but found cached credentials for 1LS4DakO..., using cache
2026-01-08 11:27:42 UTC | WARNING  | http_server | Failed to validate API key against Supabase: [Errno -3] Temporary failure in name resolution
2026-01-08 11:27:42 UTC | WARNING  | http_server | Database validation failed but found cached credentials for 1LS4DakO..., using cache
2026-01-08 11:27:42 UTC | WARNING  | http_server | Failed to validate API key against Supabase: [Errno -3] Temporary failure in name resolution
2026-01-08 11:27:42 UTC | WARNING  | http_server | Database validation failed but found cached credentials for 1LS4DakO..., using cache
2026-01-08 11:27:42 UTC | WARNING  | http_server | Failed to validate API key against Supabase: [Errno -3] Temporary failure in name resolution
2026-01-08 11:27:42 UTC | WARNING  | http_server | Database validation failed but found cached credentials for 1LS4DakO..., using cache
2026-01-08 11:27:42 UTC | WARNING  | http_server | Failed to validate API key against Supabase: [Errno -3] Temporary failure in name resolution
2026-01-08 11:27:42 UTC | WARNING  | http_server | Database validation failed but found cached credentials for 1LS4DakO..., using cache
2026-01-08 11:27:42 UTC | WARNING  | http_server | Failed to validate API key against Supabase: [Errno -3] Temporary failure in name resolution
2026-01-08 11:27:42 UTC | WARNING  | http_server | Database validation failed but found cached credentials for 1LS4DakO..., using cache
2026-01-08 11:27:43 UTC | WARNING  | http_server | Failed to validate API key against Supabase: [Errno -3] Temporary failure in name resolution
2026-01-08 11:27:43 UTC | WARNING  | http_server | Database validation failed but found cached credentials for 1LS4DakO..., using cache
2026-01-08 11:27:43 UTC | WARNING  | http_server | Failed to validate API key against Supabase: [Errno -3] Temporary failure in name resolution
2026-01-08 11:27:43 UTC | WARNING  | http_server | Database validation failed but found cached credentials for 1LS4DakO..., using cache
2026-01-08 11:27:43 UTC | WARNING  | http_server | Failed to validate API key against Supabase: [Errno -3] Temporary failure in name resolution
2026-01-08 11:27:43 UTC | WARNING  | http_server | Database validation failed but found cached credentials for 1LS4DakO..., using cache
2026-01-08 11:27:43 UTC | WARNING  | http_server | Failed to validate API key against Supabase: [Errno -3] Temporary failure in name resolution
2026-01-08 11:27:43 UTC | WARNING  | http_server | Database validation failed but found cached credentials for 1LS4DakO..., using cache
2026-01-08 11:27:45 UTC | WARNING  | http_server | Failed to validate API key against Supabase: [Errno -3] Temporary failure in name resolution
2026-01-08 11:27:45 UTC | WARNING  | http_server | Database validation failed but found cached credentials for 7DNc6AnX..., using cache
2026-01-08 11:27:45 UTC | WARNING  | http_server | Failed to validate API key against Supabase: [Errno -3] Temporary failure in name resolution
2026-01-08 11:27:45 UTC | WARNING  | http_server | Database validation failed but found cached credentials for 7DNc6AnX..., using cache
2026-01-08 11:27:45 UTC | WARNING  | http_server | Failed to validate API key against Supabase: [Errno -3] Temporary failure in name resolution
2026-01-08 11:27:45 UTC | WARNING  | http_server | Database validation failed but found cached credentials for 7DNc6AnX..., using cache
2026-01-08 11:27:45 UTC | WARNING  | http_server | Failed to validate API key against Supabase: [Errno -3] Temporary failure in name resolution
2026-01-08 11:27:45 UTC | WARNING  | http_server | Database validation failed but found cached credentials for 7DNc6AnX..., using cache
2026-01-08 11:27:46 UTC | WARNING  | http_server | Failed to validate API key against Supabase: [Errno -3] Temporary failure in name resolution
2026-01-08 11:27:46 UTC | WARNING  | http_server | Database validation failed but found cached credentials for 1LS4DakO..., using cache
2026-01-08 11:27:46 UTC | WARNING  | http_server | Failed to validate API key against Supabase: [Errno -3] Temporary failure in name resolution
2026-01-08 11:27:46 UTC | WARNING  | http_server | Database validation failed but found cached credentials for 1LS4DakO..., using cache
2026-01-08 11:27:47 UTC | WARNING  | http_server | Failed to validate API key against Supabase: [Errno -3] Temporary failure in name resolution
2026-01-08 11:27:47 UTC | WARNING  | http_server | Database validation failed but found cached credentials for 1LS4DakO..., using cache
2026-01-08 11:27:47 UTC | WARNING  | http_server | Failed to validate API key against Supabase: [Errno -3] Temporary failure in name resolution
2026-01-08 11:27:47 UTC | WARNING  | http_server | Database validation failed but found cached credentials for 1LS4DakO..., using cache
2026-01-08 11:27:48 UTC | WARNING  | http_server | Failed to validate API key against Supabase: [Errno -3] Temporary failure in name resolution
2026-01-08 11:27:48 UTC | WARNING  | http_server | Database validation failed but found cached credentials for 1LS4DakO..., using cache
2026-01-08 11:27:48 UTC | WARNING  | http_server | Failed to validate API key against Supabase: [Errno -3] Temporary failure in name resolution
2026-01-08 11:27:48 UTC | WARNING  | http_server | Database validation failed but found cached credentials for 1LS4DakO..., using cache
2026-01-08 11:27:50 UTC | WARNING  | http_server | Failed to validate API key against Supabase: [Errno -3] Temporary failure in name resolution
2026-01-08 11:27:50 UTC | WARNING  | http_server | Database validation failed but found cached credentials for 7DNc6AnX..., using cache
2026-01-08 11:27:50 UTC | WARNING  | http_server | Failed to validate API key against Supabase: [Errno -3] Temporary failure in name resolution
2026-01-08 11:27:50 UTC | WARNING  | http_server | Database validation failed but found cached credentials for 7DNc6AnX..., using cache
2026-01-08 11:27:51 UTC | WARNING  | http_server | Failed to validate API key against Supabase: [Errno -3] Temporary failure in name resolution
2026-01-08 11:27:51 UTC | WARNING  | http_server | Database validation failed but found cached credentials for 1LS4DakO..., using cache
2026-01-08 11:27:51 UTC | WARNING  | http_server | Failed to validate API key against Supabase: [Errno -3] Temporary failure in name resolution
2026-01-08 11:27:51 UTC | WARNING  | http_server | Database validation failed but found cached credentials for 1LS4DakO..., using cache
2026-01-08 11:27:52 UTC | WARNING  | http_server | Failed to validate API key against Supabase: [Errno -3] Temporary failure in name resolution
2026-01-08 11:27:52 UTC | WARNING  | http_server | Database validation failed but found cached credentials for 1LS4DakO..., using cache
2026-01-08 11:27:52 UTC | WARNING  | http_server | Failed to validate API key against Supabase: [Errno -3] Temporary failure in name resolution
2026-01-08 11:27:52 UTC | WARNING  | http_server | Database validation failed but found cached credentials for 1LS4DakO..., using cache
2026-01-08 11:27:53 UTC | WARNING  | http_server | Failed to validate API key against Supabase: [Errno -3] Temporary failure in name resolution
2026-01-08 11:27:53 UTC | WARNING  | http_server | Database validation failed but found cached credentials for 1LS4DakO..., using cache
2026-01-08 11:27:53 UTC | WARNING  | http_server | Failed to validate API key against Supabase: [Errno -3] Temporary failure in name resolution
2026-01-08 11:27:53 UTC | WARNING  | http_server | Database validation failed but found cached credentials for 1LS4DakO..., using cache
2026-01-08 11:27:55 UTC | WARNING  | http_server | Failed to validate API key against Supabase: [Errno -3] Temporary failure in name resolution
