2026-01-07 12:00:18 UTC | INFO     | server | Logger initialized for server - Logging to /app/Logs/server_2026-01-07.log
2026-01-07 12:00:27 UTC | INFO     | server | Logger initialized for server - Logging to /app/Logs/server_2026-01-07.log
2026-01-07 12:00:27 UTC | INFO     | server | Successfully authenticated with Tastytrade. Found 2 account(s).
2026-01-07 12:00:27 UTC | INFO     | server | Using specified account: 5WI12958
2026-01-07 12:05:27 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-07 12:10:28 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-07 12:15:28 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-07 12:20:28 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-07 12:25:29 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-07 12:30:29 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-07 12:35:29 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-07 12:40:29 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-07 12:45:30 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-07 12:50:30 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-07 12:55:30 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-07 13:00:31 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-07 13:05:31 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-07 13:10:31 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-07 13:15:32 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-07 13:20:32 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-07 13:25:32 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-07 13:30:32 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-07 13:35:33 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-07 13:40:33 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-07 13:45:33 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-07 13:50:34 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-07 13:55:34 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-07 14:00:34 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-07 14:05:35 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-07 14:10:35 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-07 14:15:35 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-07 14:20:36 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-07 14:25:36 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-07 14:30:36 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-07 14:35:36 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-07 14:40:37 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-07 14:45:37 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-07 14:50:37 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
